Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.457,0.4772727272727273,0.4343220338983051,0.4387551139874441,0.42105263157894735,"['CP3', 'CP5']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.59,0.5833333333333334,0.597457627118644,0.567871888569264,0.5789473684210527,"['CP3', 'CP6']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.542,0.5435606060606061,0.5402542372881356,0.5295542976542679,0.47368421052631576,"['CP3', 'Fz']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.542,0.5170454545454546,0.5699152542372882,0.530375066580207,0.5263157894736842,"['CP3', 'F1']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.532,0.5852272727272727,0.4724576271186441,0.5172461689744051,0.47368421052631576,"['CP3', 'F2']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.564,0.5492424242424242,0.5805084745762712,0.5500019658767078,0.5263157894736842,"['CP3', 'F3']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.427,0.4696969696969697,0.3792372881355932,0.4116806673111077,0.42105263157894735,"['CP3', 'F4']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.537,0.5984848484848485,0.4682203389830508,0.5194482618524053,0.5263157894736842,"['CP3', 'F7']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.45,0.48863636363636365,0.4067796610169492,0.43018028111177414,0.47368421052631576,"['CP3', 'F8']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.608,0.6212121212121212,0.5932203389830508,0.588877707800216,0.5789473684210527,"['CP3', 'Pz']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.471,0.4943181818181818,0.4449152542372881,0.45266037478047083,0.47368421052631576,"['CP3', 'P1']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.556,0.6231060606060606,0.4809322033898305,0.5380434768761163,0.5789473684210527,"['CP3', 'P2']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.427,0.48674242424242425,0.3601694915254237,0.410166731073525,0.3684210526315789,"['CP3', 'P3']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.505,0.5757575757575758,0.4258474576271186,0.4846410992743618,0.5789473684210527,"['CP3', 'P4']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.378,0.42234848484848486,0.3283898305084746,0.3623876761549983,0.3684210526315789,"['CP3', 'P5']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.474,0.5075757575757576,0.4364406779661017,0.4544415156256748,0.47368421052631576,"['CP3', 'P6']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.319,0.2765151515151515,0.3665254237288136,0.30722499301910183,0.3157894736842105,"['CP3', 'P7']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.481,0.5075757575757576,0.451271186440678,0.4640975510992731,0.42105263157894735,"['CP3', 'P8']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.563,0.6022727272727273,0.5190677966101694,0.5475292894955566,0.5789473684210527,"['CP3', 'Fp1']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.487,0.5018939393939394,0.4703389830508475,0.47472879622842024,0.5263157894736842,"['CP3', 'POz']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.401,0.44507575757575757,0.3516949152542373,0.38779842942393067,0.42105263157894735,"['CP3', 'PO3']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.368,0.3768939393939394,0.3580508474576271,0.3513323556034496,0.3684210526315789,"['CP3', 'PO4']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.409,0.44886363636363635,0.3644067796610169,0.3952990716098221,0.3684210526315789,"['CP3', 'Oz']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.364,0.39015151515151514,0.3347457627118644,0.35068623816552585,0.3684210526315789,"['CP3', 'O1']",0.5,"{""pca_components"": 3}",
